date,demand
1/16/2020,30403.8308
1/17/2020,28315.6089
1/18/2020,30927.8583
1/19/2020,31208.4834
1/20/2020,31016.0294
1/21/2020,30953.5777
1/22/2020,30964.4899
1/23/2020,30051.7548
1/24/2020,27701.932
1/25/2020,30417.9513
1/26/2020,31280.3694
1/27/2020,31303.0597
1/28/2020,30888.9644
1/29/2020,29467.3216
1/30/2020,29822.6849
1/31/2020,28034.9543
2/1/2020,30671.138
2/2/2020,31111.138
2/3/2020,30705.0441
2/4/2020,30976.7879
2/5/2020,31369.7883
2/6/2020,30505.1873
2/7/2020,27928.5178
2/8/2020,29926.1822
2/9/2020,30303.7583
2/10/2020,30644.6752
2/11/2020,29313.424
2/12/2020,30939.1243
2/13/2020,30929.6702
2/14/2020,28851.0633
2/15/2020,31025.3648
2/16/2020,31111.4909
2/17/2020,31595.1183
2/18/2020,31075.8714
2/19/2020,30932.8033
2/20/2020,30253.3518
2/21/2020,27948.0021
2/22/2020,30219.9933
2/23/2020,30536.5973
2/24/2020,31055.7374
2/25/2020,31004.5416
2/26/2020,30651.5024
2/27/2020,30148.2352
2/28/2020,28838.3165
2/29/2020,30769.2496
3/1/2020,30591.8386
3/2/2020,30901.1811
3/3/2020,30712.7315
3/4/2020,30820.5543
3/5/2020,30295.3018
3/6/2020,28699.4534
